atom,symbol,x,y,z,frame,label
0,O,85.62696980405421,104.70242470855688,38.098199657203544,0,0
1,H,83.99049089435104,105.29512431568266,37.59771116280564,0,1
2,H,86.77364851458019,105.25201586614686,36.69181767159193,0,2
3,O,-21.47555354824567,-103.53276125001653,-80.05299361083343,0,3
4,H,-22.628859530931994,-102.1502049408799,-79.92368526976796,0,4
5,H,-20.233058126109032,-102.99350500872109,-81.29597658250454,0,5
6,O,8.74189165439919,140.08829937809088,-151.34355045665248,0,6
7,H,8.483084109853603,138.2944572420948,-151.11353101136294,0,7
8,H,7.2230047791192735,140.62406907329685,-152.14971739134543,0,8
9,O,157.18250793212857,-21.359788879713214,200.13167427911642,0,9
10,H,158.72700627578297,-20.546070596416698,199.78839594313433,0,10
11,H,155.91531755915318,-20.20022790106146,199.43470899150944,0,11
12,O,-172.91858300719795,76.0945808302326,-107.66830757950554,0,12
13,H,-174.08543644187105,75.2928509742487,-108.74723202255578,0,13
14,H,-172.8969153988174,77.76524867860849,-108.2437313035147,0,14
15,O,190.6795930284196,158.13490004289682,131.58716837655453,0,15
16,H,190.08257539537811,159.45653911640153,130.48982854508037,0,16
17,H,190.8090922318997,156.70907654716663,130.47352209185206,0,17
18,O,-73.1406296947902,-82.53503081199675,162.9070008711641,0,18
19,H,-74.5282070082411,-83.4201656534581,163.6751710675256,0,19
20,H,-72.34186482027752,-84.00953178237148,162.09338652284586,0,20
21,O,-129.0547964102748,184.24085891866048,-46.906466078457676,0,21
22,H,-128.746115193971,185.88069587302547,-47.704694270537075,0,22
23,H,-128.95657974552935,183.02241782995102,-48.2553625724474,0,23
24,O,154.20963118200527,-44.90758479676933,-143.19794700072,0,24
25,H,155.04416480686046,-43.8072232920176,-144.34061382108442,0,25
26,H,155.185021268876,-44.887665185750706,-141.66935259846895,0,26
27,O,189.69068572519214,30.578638149428265,96.0111040351338,0,27
28,H,190.12550243113364,29.07667188861194,96.93939645902978,0,28
29,H,188.60444803912492,31.725415125751876,96.96438620726147,0,29
30,O,157.78471853463017,112.69752842621656,-29.857507034508302,0,30
31,H,156.94240679394608,112.36585679271775,-31.41204927651807,0,31
32,H,156.40990065705805,113.36182411556058,-28.871545815483287,0,32
33,O,-172.01250432275023,-112.45134803666826,92.06395213699763,0,33
34,H,-171.80514459245205,-114.04288168231045,92.92616648115848,0,34
35,H,-173.58875574713187,-111.85126148717725,92.53721155681369,0,35
36,O,-67.74233385048859,99.70979464338019,-162.47877742229915,0,36
37,H,-69.5291159668693,99.68576298667553,-162.3454704191603,0,37
38,H,-67.39587699389807,101.43938417580507,-162.22612660792134,0,38
39,O,53.4293232699078,113.86473712954268,110.92515736700574,0,39
40,H,54.34313471673939,113.99893041458718,112.47434790249766,0,40
41,H,51.73202161091657,113.7959057177466,111.54038629796835,0,41
42,O,9.268632234583137,166.58972328729328,-93.96090344062573,0,42
43,H,9.335109046689482,164.86608450480654,-93.57261181041504,0,43
44,H,10.649427318269689,166.78952599980724,-95.09058594761298,0,44
45,O,180.4929976170544,36.69786668732768,-182.1006600815984,0,45
46,H,180.06798292442792,37.24041861229796,-183.74727359654707,0,46
47,H,181.8113391171574,35.51436664858828,-182.24500497943032,0,47
48,O,202.17611687582794,-196.65766463772988,-147.09484350226862,0,48
49,H,203.39447859600853,-197.12505645559048,-145.82475050880896,0,49
50,H,201.33597265187262,-198.13506633886203,-147.7195739799727,0,50
51,O,-111.84598348000763,-179.66655769241672,-1.03924395807074,0,51
52,H,-113.57671251773981,-179.30267566428623,-0.7294383542746566,0,52
53,H,-111.70656321041919,-181.34530034374131,-0.4053520844632325,0,53
54,O,-95.99157181812512,-1.221184972135977,67.68607668133724,0,54
55,H,-95.35606233831024,-1.9572600472053772,69.16424372185487,0,55
56,H,-95.32615174128883,0.5273755284148782,67.68093095504908,0,56
57,O,-144.796440510453,-200.81768482001297,5.939171581531321,0,57
58,H,-143.0698386362219,-200.51180417894201,5.5121405503262615,0,58
59,H,-145.6737858977242,-199.23750276372556,6.121728646558713,0,59
60,O,116.46946484824548,101.25172106875392,-102.88536349841357,0,60
61,H,117.25639814277642,102.79482479397252,-103.29631295388877,0,61
62,H,115.07476515419226,101.68593117236766,-101.8726664235218,0,62
63,O,74.00190862414655,29.288839084087176,-77.696810330003,0,63
64,H,72.56716372782643,28.79749497805082,-78.59586678937293,0,64
65,H,73.51739021159271,30.837870882521347,-76.8656347498096,0,65
66,O,-117.44124555677968,173.76969520595188,171.71035400253604,0,66
67,H,-116.91904221082928,175.17596758740459,170.683884598159,0,67
68,H,-117.87586951057963,172.50429062487598,170.48894604262844,0,68
69,O,-67.47921394920792,102.35977565162506,-176.18619100981337,0,69
70,H,-68.51407374092223,100.8817900248877,-175.70096205995347,0,70
71,H,-66.92063525058722,103.07864854292609,-174.64143755303044,0,71
72,O,-109.87240564121268,75.50727639334286,145.93488190151876,0,72
73,H,-110.60987911417163,74.08047023963627,146.81651507907563,0,73
74,H,-109.3406931896133,76.65864729570634,147.1370259856343,0,74
75,O,-68.9711004068582,131.843071410889,-154.32367430935207,0,75
76,H,-70.16837088535593,130.40847013381156,-154.184928672259,0,76
77,H,-69.12727688467186,132.67984247236748,-152.81706309987018,0,77
78,O,132.00578634369975,-8.554117053462262,-124.97634439894402,0,78
79,H,133.02436235890826,-8.95651927426929,-123.57039894024116,0,79
80,H,132.39711098554923,-9.881402630877758,-126.05514789947408,0,80
81,O,18.817308764364284,86.54572666612495,-84.70339035899141,0,81
82,H,19.887075590964837,86.8012460859032,-86.28083798048668,0,82
83,H,17.858663547357498,88.02584390478044,-84.6244205624961,0,83
84,O,-101.44719630671779,-106.92994593491403,-70.43866041041088,0,84
85,H,-100.70512512826521,-105.50872581385812,-71.29037354231193,0,85
86,H,-100.3061905562789,-108.28091545928868,-70.98406204351285,0,86
87,O,64.26282132443399,160.7469939169692,-180.47939158353444,0,87
88,H,65.16017702961392,161.86419288820187,-181.6091081056055,0,88
89,H,65.22079757812602,161.00939194258254,-179.05476806437167,0,89
90,O,166.6472144480958,-38.17897036341338,204.46896407062286,0,90
91,H,167.62364955392997,-36.75256294207798,203.93205109065588,0,91
92,H,166.80695684052782,-39.41758617626994,203.10344553901623,0,92
93,O,-148.50908864141866,119.45518607195702,110.53354359694394,0,93
94,H,-150.22127567902612,120.0792173507163,110.22095442545688,0,94
95,H,-147.59601985725,120.85866543708438,111.18079961903106,0,95
96,O,-37.524486136018766,-110.42012596919366,114.49039546314371,0,96
97,H,-37.137745971574724,-109.27353607583096,113.13315015580798,0,97
98,H,-38.121486761518355,-111.88327346048675,113.69971295048727,0,98
99,O,37.660656075377425,196.03697439609053,-22.86954081526597,0,99
100,H,37.759781698751084,197.5533063606317,-24.04520415664324,0,100
101,H,38.29779638948783,196.5936255732959,-21.236690181168115,0,101
102,O,51.22007570245873,125.37061890444974,-137.19944366440717,0,102
103,H,51.63356306113077,124.98106115723094,-138.9463166388562,0,103
104,H,52.789297342855036,125.03050586098792,-136.35448630609417,0,104
105,O,182.19960051173803,152.6978364516976,12.64483339222982,0,105
106,H,182.59419249135922,152.9589078890428,10.934437815702497,0,106
107,H,182.09029870912755,150.8719029738632,12.917915933610114,0,107
108,O,91.98819487619456,123.78748698450615,157.36490626009822,0,108
109,H,92.09433327601162,123.31459039225061,159.11283370214502,0,109
110,H,90.28073026605465,124.20004270782742,157.08989052812197,0,110
111,O,33.487016631486256,194.51900970752695,-31.89049032743297,0,111
112,H,32.03927608342766,193.5333697420712,-31.98966886315921,0,112
113,H,34.67806045992173,193.50348560122606,-31.0230924624464,0,113
114,O,186.2412255256748,79.04631153659362,148.2742787384939,0,114
115,H,185.65471477407368,78.62558841370657,149.93573416834064,0,115
116,H,187.94461399493932,78.57244362472292,148.28331541242343,0,116
117,O,-141.28724415460235,19.85808718065978,-185.42733527723237,0,117
118,H,-141.80890892839258,18.99424200220342,-186.9271926028531,0,118
119,H,-139.75043321988673,19.02605744391763,-184.958796395157,0,119
120,O,14.104341269556311,-94.2144651033586,121.90367684158609,0,120
121,H,13.1350871258577,-92.98189452678403,121.01493829096879,0,121
122,H,15.695273982051376,-93.39030229960863,122.19047502064525,0,122
123,O,-24.394762055040186,-36.39046481612012,153.69730165899122,0,123
124,H,-24.144382692369472,-36.00068975031039,152.00425755465562,0,124
125,H,-23.00464305893869,-37.383106219658075,154.2277650011244,0,125
126,O,-197.54215697205282,-171.663074925781,22.029417378306313,0,126
127,H,-196.32776178858867,-172.89906968745808,22.483624571740645,0,127
128,H,-198.66415584955504,-171.81872039034198,23.480682266991952,0,128
129,O,-133.8527222460538,-17.826010956636438,35.25121462195069,0,129
130,H,-135.2403732588529,-16.927177485038087,34.47446128611032,0,130
131,H,-132.3675367599121,-17.116038678929733,34.41254438496004,0,131
132,O,83.44751945001389,-118.08957494373338,91.47085568722753,0,132
133,H,81.74911041107228,-118.30546112170407,90.81675885384286,0,133
134,H,83.53908049669582,-116.31505715478941,91.87504369993405,0,134
135,O,-140.4229454416953,140.9973146981067,-125.40290677788337,0,135
136,H,-139.9122713194262,140.9221413629088,-123.70249462845135,0,136
137,H,-140.4123705300873,139.24313037036757,-125.96783495881338,0,137
138,O,-57.34592206388411,90.40187120755438,162.30464664941974,0,138
139,H,-58.135140038210274,91.96675592476619,162.54929824992394,0,139
140,H,-57.0736823406913,90.3268773964099,160.52954682459745,0,140
141,O,-197.36328487443708,-8.002874274581096,-176.43297422223566,0,141
142,H,-195.83484354006313,-7.318487009072578,-175.93663745778824,0,142
143,H,-198.41239320680984,-7.634507924569662,-175.01195063277504,0,143
144,O,101.7009677291341,-10.319577381481054,-104.64812907590466,0,144
145,H,102.62788632158994,-9.729088754802268,-103.19713252843566,0,145
146,H,102.99891718649903,-11.053409350746536,-105.69927453385162,0,146
147,O,-204.4803477853346,203.8123255545876,80.34368840671458,0,147
148,H,-203.7352171390669,202.8341424513915,81.57785391277397,0,148
149,H,-203.89578345241762,205.4325376953269,80.65927468502977,0,149
150,O,-39.54478180268606,-117.85827615334755,87.36398974256251,0,150
151,H,-40.69007156395686,-116.69677820464608,88.14478520419443,0,151
152,H,-39.016533220453645,-116.94811187939007,85.76606315089279,0,152
153,O,84.71849872537922,-55.60695759641859,175.2905190512815,0,153
154,H,84.34409847744705,-56.18546535469228,173.65946743717132,0,154
155,H,83.56413827509509,-56.70158566982314,176.2904529108408,0,155
156,O,-120.41310563384273,32.44770464324791,56.21811983514023,0,156
157,H,-120.91148708277193,31.157586214064477,55.04174217700316,0,157
158,H,-121.82212567817574,33.46547374507962,56.13617182908555,0,158
159,O,50.059269393794516,168.20290564404726,-145.68114260445938,0,159
160,H,48.96845856868307,169.66229068912668,-145.71792613813525,0,160
161,H,50.518115866713785,167.86253370800318,-147.3933050756174,0,161
162,O,169.63837052630785,-187.3627897659951,9.28448893281454,0,162
163,H,170.58219839486597,-188.43876056593538,8.134455957080522,0,163
164,H,169.09629481251073,-188.53569221640396,10.49937922472065,0,164
165,O,167.34105979662758,-204.8998406960242,-87.67173554406182,0,165
166,H,166.29050771292026,-205.02541682650607,-86.21244120587251,0,166
167,H,168.65940507618433,-203.8213206545258,-87.14443749444892,0,167
168,O,199.6152799535883,-72.43233927400473,-58.360535321829936,0,168
169,H,201.01472286210472,-72.19913185947235,-57.278592984955885,0,169
170,H,198.22742862974013,-71.50218357940727,-57.50286199135639,0,170
171,O,-50.11060760388301,91.70690714071095,148.60564990541917,0,171
172,H,-50.71270104331821,90.69006211532248,147.21938028296768,0,172
173,H,-50.29281317971114,93.45807924380689,148.20746366527646,0,173
174,O,106.17502083423882,-198.25398874100725,19.659913412714463,0,174
175,H,106.52253215842714,-196.51287376435485,19.906893156732057,0,175
176,H,107.60549116836144,-199.1092243238085,20.48387401568851,0,176
177,O,-160.69160035300098,191.80028988410305,-35.02130856027379,0,177
178,H,-159.87649501017617,190.9218881395072,-33.714605888011,0,178
179,H,-160.24190393762387,190.90166239273438,-36.55453279337537,0,179
180,O,-48.58344561460532,182.61436154632568,44.929059653008345,0,180
181,H,-48.431311262583215,184.4145210392742,44.747352965075955,0,181
182,H,-49.74587519865754,182.36291637769594,46.34663071146327,0,182
183,O,-12.357732856870197,-24.96220735217139,-32.77440062587754,0,183
184,H,-10.837271839101096,-24.963386541743123,-31.748159878452764,0,184
185,H,-13.418680328132176,-26.049414468126923,-31.797708517188013,0,185
186,O,-204.35810324333823,-135.57322786137718,-39.72087033261083,0,186
187,H,-205.88165963373314,-134.937584210954,-39.05061822414806,0,187
188,H,-204.71287111873718,-136.62049559977098,-41.174038176262385,0,188
189,O,184.57082412878867,3.163100437093827,102.29441755783037,0,189
190,H,185.1111783014001,4.57110947754721,103.26023050888455,0,190
191,H,185.80791493205487,2.7927668814026307,101.02151643023034,0,191
192,O,-169.71097194322505,113.94703662479661,-4.904049117781007,0,192
193,H,-170.10225690081012,113.08771167303189,-3.355450066801845,0,193
194,H,-171.380509734928,114.24893372160922,-5.570638935554644,0,194
195,O,-141.30479026866246,-176.6395138110689,-87.65962050504841,0,195
196,H,-142.84774470545773,-177.5766199211228,-87.79812236737423,0,196
197,H,-141.74835641004805,-175.01614771617056,-87.11752778370942,0,197
198,O,204.24366516307398,-115.19754637862191,90.40866855513373,0,198
199,H,203.72498048856997,-113.61914822450711,91.30569922729067,0,199
200,H,203.55927033865797,-114.9198302269373,88.67016896048014,0,200
201,O,66.94147893804907,84.81007488987618,103.93495182141325,0,201
202,H,65.3297082072728,84.91950519391432,103.12612982045705,0,202
203,H,66.81791725641894,83.28692857021375,104.9298892431077,0,203
204,O,-155.31587351680062,-36.43047411357636,-130.4791308012253,0,204
205,H,-156.2700306324727,-35.7259404698239,-131.8610635004923,0,205
206,H,-154.6525812724287,-37.87076724800964,-131.37562101149518,0,206
207,O,117.9643389640895,49.5799609582427,3.0221910627257045,0,207
208,H,118.52594878462216,51.01867239127929,3.958278609992498,0,208
209,H,118.41990109169521,48.161562199415314,4.102632956458803,0,209
210,O,21.1366178046287,-164.10472110465875,-155.72996558807355,0,210
211,H,22.11449855152435,-163.71424306045049,-154.23056368663038,0,211
212,H,20.060480708723166,-165.46654899967308,-155.26657999119388,0,212
