two,dx,dy,dz,dr,atom0,atom1,projection,bond,molecule_label0,molecule_label1
10,0.7007593019359994,0.36050287154360205,1.7098969946355997,1.8827569285239314,575808,575872,13,True,1.0,1.0
11,-0.2760373064280017,-1.7695322989190885,-0.17588197447200038,1.7995487268762884,575808,575873,13,True,1.0,1.0
46,-0.006005048018000281,-1.8645371239829984,0.23223270828300002,1.8789536391590258,575809,575874,13,True,2.0,2.0
47,-1.5293075877078,0.6396776062520004,-0.8117806145760014,1.8457943829046426,575809,575875,13,True,2.0,2.0
1720,-0.9767966083640012,-2.1300351704626905,-1.8857789691076001,3.007880277179922,575872,575873,13,False,1.0,1.0
1761,-1.5233025396897997,2.504214730234999,-1.0440133228590014,3.1115118288154453,575874,575875,13,False,2.0,2.0
3062,0.6343741915740004,0.352973295075401,1.6245110995473997,1.7793417531559963,576000,576064,13,True,1.0,1.0
3063,-0.20455996161700085,-1.801791457105704,-0.1744197319926002,1.8217352924352692,576000,576065,13,True,1.0,1.0
3099,-0.009699588687099414,-1.8967453626089998,0.19261733808800052,1.9065252402031168,576001,576066,13,True,2.0,2.0
3100,-1.5431123928629997,0.5317733087879972,-0.7893255393849987,1.8130122768674588,576001,576067,13,True,2.0,2.0
4765,-0.8389341531910013,-2.154764752181105,-1.7989308315399999,2.9296712763205357,576064,576065,13,False,1.0,1.0
4805,-1.5334128041759003,2.428518671396997,-0.9819428774729992,3.035336814911055,576066,576067,13,False,2.0,2.0
6103,0.6078003245880019,0.34080068765959837,1.6151362336268003,1.75904275003557,576192,576256,13,True,1.0,1.0
6104,-0.12865475660499825,-1.8451505960629184,-0.16373305949109973,1.856863291499606,576192,576257,13,True,1.0,1.0
6141,-0.02936928751130008,-1.8921950868119986,0.1488493849800001,1.8982678791501773,576193,576258,13,True,2.0,2.0
6142,-1.5985056504003996,0.446356502455,-0.7844592507600012,1.8357098784254573,576193,576259,13,True,2.0,2.0
7813,-0.7364550811930002,-2.185951283722517,-1.7788692931179,2.9129237997965007,576256,576257,13,False,1.0,1.0
7855,-1.5691363628890995,2.3385515892669986,-0.9333086357400013,2.966829531764658,576258,576259,13,False,2.0,2.0
9158,0.6278432951169997,0.33260449139049797,1.6988837065112006,1.8414719110444608,576384,576448,13,True,1.0,1.0
9159,-0.048526690336000655,-1.8704972137038638,-0.1421665257820992,1.8765196474329375,576384,576449,13,True,1.0,1.0
9195,-0.054622987211700114,-1.856798968071999,0.10722282864800015,1.8606941751799106,576385,576450,13,True,2.0,2.0
9196,-1.6779478539778,0.38864276919600016,-0.790145245171999,1.8949621925476399,576385,576451,13,True,2.0,2.0
10875,-0.6763699854530003,-2.2031017050943618,-1.8410502322932998,2.9496778532644186,576448,576449,13,False,1.0,1.0
10916,-1.6233248667661,2.245441737267999,-0.8973680738199992,2.912466596965143,576450,576451,13,False,2.0,2.0
12221,0.6727364040280008,0.3204487397718978,1.8140267451251,1.961110577238083,576576,576640,13,True,1.0,1.0
12222,0.030747813355997522,-1.8647749930860904,-0.11541633537640017,1.8685963002577954,576576,576641,13,True,1.0,1.0
12258,-0.07615303640300031,-1.8195440589659988,0.07570689000800002,1.8227099057904255,576577,576642,13,True,2.0,2.0
12259,-1.7423395806270001,0.35762100600399904,-0.7895525008160007,1.9460300998955755,576577,576643,13,True,2.0,2.0
13937,-0.6419885906720033,-2.185223732857988,-1.9294430805015002,2.9849795165283703,576640,576641,13,False,1.0,1.0
13978,-1.6661865442239998,2.177165064969998,-0.8652593908240007,2.8748737596089415,576642,576643,13,False,2.0,2.0
15282,0.7197429537059996,0.29723600459859867,1.8945977219299004,2.048384653765289,576768,576832,13,True,1.0,1.0
