,symbol,x,y,z,frame
0,O,0.343552D+01,0.164631D+01,-0.895100D+00,0
1,H,-0.694970D+01,0.207495D+02,-0.678917D-01,0
2,H,-0.531751D+02,0.185476D+02,0.242310D+02,0
3,O,0.285894D+01,0.646562D+01,0.326353D+01,0
4,H,0.198045D+02,0.911515D+01,0.229146D+01,0
5,H,0.180355D+01,-0.510383D+01,-0.286916D+02,0
6,O,0.321968D+01,0.190988D+01,-0.241701D+01,0
7,H,-0.889862D+01,-0.143681D+02,0.307612D+02,0
8,H,0.346678D+01,-0.529059D+00,0.133180D+02,0
9,O,-0.105796D+02,-0.214305D+01,0.104228D+01,0
10,H,0.290931D+02,-0.203336D+02,0.650743D+01,0
11,H,0.302958D+02,0.456524D+01,-0.262407D+02,0
12,O,-0.124428D+01,0.130493D+01,0.407686D+01,0
13,H,-0.106934D+02,-0.232647D+01,0.165133D+02,0
14,H,-0.435342D+00,0.844098D+01,0.862581D+01,0
15,O,-0.524776D+01,0.251825D+01,0.254249D+01,0
16,H,-0.363137D+02,0.463551D+01,-0.195560D+02,0
17,H,-0.380037D+02,-0.105603D+02,0.184695D+02,0
18,O,-0.191960D+01,0.855262D+00,-0.640903D+01,0
19,H,0.335858D+02,0.199868D+02,0.154323D+02,0
20,H,-0.382949D+01,0.120115D+01,0.219956D+01,0
21,O,-0.304888D+01,-0.599915D+01,-0.108339D+01,0
22,H,-0.179910D+02,-0.591376D+02,0.134280D+02,0
23,H,0.334930D+02,0.186015D+02,0.361182D+02,0
24,O,0.128982D+01,0.280712D+01,0.262276D+01,0
25,H,0.751199D+01,0.215790D+02,0.367217D+02,0
26,H,0.483426D+00,0.294918D+02,-0.162701D+02,0
27,O,0.897514D+00,-0.104377D+01,0.887041D+01,0
28,H,0.130687D+02,-0.121702D+02,0.113782D+02,0
29,H,-0.236524D+02,0.373194D+02,-0.140271D+02,0
30,O,0.383951D+00,-0.941576D-01,-0.183646D+01,0
31,H,-0.155173D+01,0.228174D+02,0.444140D+01,0
32,H,0.248312D+01,-0.689795D+01,-0.208707D+02,0
33,O,-0.463129D+01,-0.612894D+00,-0.162611D+01,0
34,H,-0.175166D+02,-0.537005D+01,0.100310D+02,0
35,H,-0.328828D+01,0.278180D+02,-0.170216D+02,0
36,O,-0.207915D+01,-0.495840D+01,-0.708322D+01,0
37,H,0.366243D+01,0.920306D+01,0.222305D+01,0
38,H,-0.122115D+02,-0.189731D+02,-0.449470D+01,0
39,O,0.376426D+01,0.191254D+00,-0.600169D+01,0
40,H,-0.778079D+01,-0.207554D+01,-0.397539D+01,0
41,H,0.140197D+02,0.826648D+01,-0.367426D+01,0
42,O,0.188754D+00,0.242578D+01,0.552927D+01,0
43,H,-0.106835D+01,0.214856D+02,-0.217616D+01,0
44,H,0.162242D+02,-0.127722D+02,0.304663D+02,0
45,O,-0.113729D+01,-0.377651D+01,0.354153D+01,0
46,H,0.213465D+02,-0.256934D+02,0.314933D+02,0
47,H,-0.116855D+02,0.102299D+01,0.205022D+02,0
48,O,0.422712D+01,-0.250052D+01,-0.520405D+01,0
49,H,-0.126047D+02,-0.185693D+02,-0.161694D+02,0
50,H,-0.163799D+02,0.784394D+01,-0.769121D+01,0
51,O,0.877079D+01,-0.143927D+01,0.641644D+00,0
52,H,-0.490265D+01,0.361969D+01,-0.194957D+02,0
53,H,0.930337D+01,-0.759982D+01,-0.195884D+02,0
54,O,-0.855650D+01,0.295916D+01,-0.183796D+01,0
55,H,-0.195666D+02,0.124548D+02,0.199081D+02,0
56,H,-0.373673D+01,-0.423247D+01,-0.559062D+01,0
57,O,0.517357D+01,0.122026D+00,-0.705403D+01,0
58,H,-0.249597D+02,0.481124D+01,-0.166733D+02,0
59,H,0.229326D+02,0.591597D+01,-0.246778D+02,0
60,O,-0.316016D+01,-0.288006D+01,0.173337D+01,0
61,H,0.404908D+01,-0.208916D+02,0.280510D+02,0
62,H,-0.310656D+02,0.190938D+01,-0.892729D+01,0
63,O,-0.695047D+01,-0.102560D+02,0.252503D+01,0
64,H,0.751285D+01,-0.209684D+02,0.782464D+01,0
65,H,-0.911132D+01,-0.101334D+02,0.112150D+02,0
66,O,-0.114320D+02,0.225753D-01,-0.756052D+00,0
